brand,name_ja,model,id,verification_status,has_image,current_image_url,official_url,recommended_filename,target_folder
NANGA,UDD バッグ 380DX,UDD バッグ 380DX,457633c0-9e2d-4ed6-a595-76daf7ac7138,verified,yes,https://cdn.shopify.com/s/files/1/0033/7428/4867/products/UDD_BAG_380DX_RED_02.jpg?v=1750211907,https://store.nanga.jp/products/udd-bag-380dx,UDD バッグ 380DX - 457633c0.png,tmp/gear-images/manual-image-todo/by-brand/NANGA
NANGA,UDD バッグ 450DX,UDD バッグ 450DX,f1bfa303-8e78-4dbb-9dde-a12f640edcb9,verified,yes,https://cdn.shopify.com/s/files/1/0033/7428/4867/files/UDD_CHA.jpg?v=1750211905,https://store.nanga.jp/products/udd-bag-450dx,UDD バッグ 450DX - f1bfa303.png,tmp/gear-images/manual-image-todo/by-brand/NANGA
NANGA,UDD バッグ 630DX,UDD バッグ 630DX,8a440f17-7076-4848-8c34-03a7a901ea81,verified,yes,https://cdn.shopify.com/s/files/1/0033/7428/4867/files/UDD_BAG_04_a3216c4e-20a3-4f59-8d75-365b670793d2.jpg?v=1750211868,https://store.nanga.jp/products/udd-bag-630dx-1,UDD バッグ 630DX - 8a440f17.png,tmp/gear-images/manual-image-todo/by-brand/NANGA
NANGA,UDD バッグ 810DX,UDD バッグ 810DX,3ef9b4cd-08e1-4551-abb1-b5ba9be0b733,verified,yes,https://cdn.shopify.com/s/files/1/0033/7428/4867/files/UDD_BEG_253b45aa-5c8f-42e6-8fa9-7617714bfeae.jpg?v=1750211866,https://store.nanga.jp/products/udd-bag-810dx-1,UDD バッグ 810DX - 3ef9b4cd.png,tmp/gear-images/manual-image-todo/by-brand/NANGA
NANGA,オーロラテックス ライト350DX,オーロラテックス ライト350DX,cacec7b1-0a4b-42a9-b081-8cd4ca90b29d,verified,yes,https://cdn.shopify.com/s/files/1/0033/7428/4867/files/ONLINE_AURORA_light_GRY_OREG_01_9a910f78-0eca-40a7-a107-53b8c21e9e1c.jpg?v=1750211752,https://store.nanga.jp/products/aurora-tex-light-350-dx-1,オーロラテックス ライト350DX - cacec7b1.png,tmp/gear-images/manual-image-todo/by-brand/NANGA
NANGA,オーロラテックス ライト450DX,オーロラテックス ライト450DX,0a2dabc4-d03b-4e44-8b48-f486961c0f9e,verified,yes,https://cdn.shopify.com/s/files/1/0033/7428/4867/files/ONLINE_AURORA_light_450DX_BRW.jpg?v=1776075595,https://store.nanga.jp/products/aurora-tex-light-450dx-1,オーロラテックス ライト450DX - 0a2dabc4.png,tmp/gear-images/manual-image-todo/by-brand/NANGA
NANGA,オーロラテックス ライト600DX,オーロラテックス ライト600DX,91fdf5a5-4d5f-4203-9131-92d580782a2a,verified,yes,https://cdn.shopify.com/s/files/1/0033/7428/4867/files/ONLINE_AURORA_light_600DX_BRW_01_87a48920-1f29-4065-abbb-e9866b6f8542.jpg?v=1750211860,https://store.nanga.jp/products/aurora-tex-light-600-dx-1,オーロラテックス ライト600DX - 91fdf5a5.png,tmp/gear-images/manual-image-todo/by-brand/NANGA
NANGA,オーロラテックス ライト750DX,オーロラテックス ライト750DX,f0387fec-7f32-4b01-9aca-ee8fa61f559a,verified,yes,https://cdn.shopify.com/s/files/1/0033/7428/4867/files/ONLINE_AURORA_light_750DX_GRY_OREG_01_bf8f36de-8e71-49c1-92b7-b2afdfcf63e2.jpg?v=1750211857,https://store.nanga.jp/products/aurora-tex-light-750-dx-1,オーロラテックス ライト750DX - f0387fec.png,tmp/gear-images/manual-image-todo/by-brand/NANGA
NANGA,オーロラテックス ライト900DX,オーロラテックス ライト900DX,1972efbb-0142-4c58-ac95-52570ec78ab2,verified,yes,https://cdn.shopify.com/s/files/1/0033/7428/4867/files/ONLINE_AURORA_light_900DX_BLK_NVY_03_0aed8161-f2fb-4442-a309-8d2a9de197dc.jpg?v=1750211855,https://store.nanga.jp/products/aurora-tex-light-900-dx-1,オーロラテックス ライト900DX - 1972efbb.png,tmp/gear-images/manual-image-todo/by-brand/NANGA
NANGA,ミニマリスム 5ビロー,ミニマリスム 5ビロー,f6b5b4d6-69fb-4954-b040-ccd0cc0b1146,verified,yes,https://cdn.shopify.com/s/files/1/0033/7428/4867/files/MINIMARHYTHM5BELOW_GRY.jpg?v=1775627139,https://store.nanga.jp/products/minimarhythm-5below,ミニマリスム 5ビロー - f6b5b4d6.png,tmp/gear-images/manual-image-todo/by-brand/NANGA
NANGA,ミニマリスム ゼロ,ミニマリスム ゼロ,23bfee9d-28d5-4941-a2c5-86d9808203e1,verified,yes,https://cdn.shopify.com/s/files/1/0033/7428/4867/files/MINIMARHYTHMZERO_GRY_08facee7-35d0-48d0-9298-160ed673d678.jpg?v=1754354130,https://store.nanga.jp/products/minimarhythm-zero,ミニマリスム ゼロ - 23bfee9d.png,tmp/gear-images/manual-image-todo/by-brand/NANGA
NANGA,レベル8 -13 オーロラテックス ライト,レベル8 -13 オーロラテックス ライト,94b32515-ed01-4831-beb1-9e93af372f7b,verified,yes,https://cdn.shopify.com/s/files/1/0033/7428/4867/files/LEVEL8-13AURORATEXLight_COYOTE.jpg?v=1750211558,https://store.nanga.jp/products/level8-13-aurora-tex-light,レベル8 -13 オーロラテックス ライト - 94b32515.png,tmp/gear-images/manual-image-todo/by-brand/NANGA
