brand,name_ja,model,id,verification_status,has_image,current_image_url,official_url,recommended_filename,target_folder
SOTO,CB TOUGH 125,ST-711,dee97fc3-0e88-4d2f-9c91-41eb53fd0846,verified,yes,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-711_0111.jpg,https://soto.shinfuji.co.jp/products/st-711/,CB TOUGH 125 - ST-711 - dee97fc3.png,tmp/gear-images/manual-image-todo/by-brand/SOTO
SOTO,CB TOUGH 220,ST-712,260e1757-dfca-4df2-901c-60fc7290680b,verified,yes,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-712_011.jpg,https://soto.shinfuji.co.jp/products/st-712/,CB TOUGH 220 - ST-712 - 260e1757.png,tmp/gear-images/manual-image-todo/by-brand/SOTO
SOTO,G-ストーブ ST-320,ST-320,5cd7e352-0dd0-4790-9736-c04d0f3abf35,verified,yes,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-320_01-1-550x361.jpg,https://soto.shinfuji.co.jp/products/st-320/,G-ストーブ ST-320 - ST-320 - 5cd7e352.png,tmp/gear-images/manual-image-todo/by-brand/SOTO
SOTO,GORA パンチングザル,ST-950P,66d18a5e-8e82-44dd-8ca0-cbf695986ddc,verified,yes,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-950P_01-1.jpg,https://soto.shinfuji.co.jp/products/st-950p/,GORA パンチングザル - ST-950P - 66d18a5e.png,tmp/gear-images/manual-image-todo/by-brand/SOTO
SOTO,GORA フライパン16cm,ST-950FP16,df6833ab-71a2-4399-83dd-d3112ec51176,verified,yes,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-950FP16_01-1.jpg,https://soto.shinfuji.co.jp/products/st-950fp16/,GORA フライパン16cm - ST-950FP16 - df6833ab.png,tmp/gear-images/manual-image-todo/by-brand/SOTO
SOTO,GORA フライパン22cm,ST-950FP22,77113dbd-4ae0-4202-95e4-20e0d0350a2c,verified,yes,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-950FP22_01-1.jpg,https://soto.shinfuji.co.jp/products/st-950fp22/,GORA フライパン22cm - ST-950FP22 - 77113dbd.png,tmp/gear-images/manual-image-todo/by-brand/SOTO
SOTO,GRID テーブル,ST-526T,a747dbe4-5002-4f65-ab29-013813573296,verified,yes,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-526T_01-1.jpg,https://soto.shinfuji.co.jp/products/st-526t/,GRID テーブル - ST-526T - a747dbe4.png,tmp/gear-images/manual-image-todo/by-brand/SOTO
SOTO,TrekMaster（トレックマスター）,ST-331,84bdcb2c-1083-409b-9ebd-ee3b6e63f2f2,verified,yes,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-331_01.webp,https://soto.shinfuji.co.jp/products/st-331/,TrekMaster(トレックマスター) - ST-331 - 84bdcb2c.png,tmp/gear-images/manual-image-todo/by-brand/SOTO
SOTO,ガス抜きツール ルミナス,ST-770LU,a0fdac12-a5be-4730-8bad-7e114b505ddc,verified,yes,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-770LU_kikaku_01-2.jpg,https://soto.shinfuji.co.jp/products/st-770lu/,ガス抜きツール ルミナス - ST-770LU - a0fdac12.png,tmp/gear-images/manual-image-todo/by-brand/SOTO
SOTO,ガス抜きツール ルミナスブルー,ST-770LUBL,3b2a5022-ca26-4223-8c4c-20c849350f86,verified,yes,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-770LUBL_kikaku_01.jpg,https://soto.shinfuji.co.jp/products/st-770lubl/,ガス抜きツール ルミナスブルー - ST-770LUBL - 3b2a5022.png,tmp/gear-images/manual-image-todo/by-brand/SOTO
SOTO,ステンレスヘビーポット GORA(ゴーラ),ST-950,d2603e55-b675-45f4-80e7-2d5cf0059a4d,verified,yes,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-950_01-1.jpg,https://soto.shinfuji.co.jp/products/st-950/,ステンレスヘビーポット GORA(ゴーラ) - ST-950 - d2603e55.png,tmp/gear-images/manual-image-todo/by-brand/SOTO
SOTO,パワーガス500トリプルミックス,SOD-750T,c8f8398a-3b0e-4a34-8e9a-84969d5f3faa,verified,yes,https://soto.shinfuji.co.jp/wp-content/uploads/products/SOD-750T_01-1.jpg,https://soto.shinfuji.co.jp/products/sod-750t/,パワーガス500トリプルミックス - SOD-750T - c8f8398a.png,tmp/gear-images/manual-image-todo/by-brand/SOTO
SOTO,マイクロトーチ用ホルスター（カーキ）,ST-4891KK,585b6aa0-4a54-4ee9-81fb-56bea6bb1c11,verified,yes,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-4891KK_01.jpg,https://soto.shinfuji.co.jp/products/st-4891kk/,マイクロトーチ用ホルスター(カーキ) - ST-4891KK - 585b6aa0.png,tmp/gear-images/manual-image-todo/by-brand/SOTO
SOTO,ミニマルクッカー角,ST-3108,de05011e-8ba5-4b5e-9cde-250dcd2c1a7a,verified,yes,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-3108_01-1.jpg,https://soto.shinfuji.co.jp/products/st-3108/,ミニマルクッカー角 - ST-3108 - de05011e.png,tmp/gear-images/manual-image-todo/by-brand/SOTO
SOTO,レギュレーターストーブ FUSION ST-330,ST-330,189ef945-c105-41e7-a04e-ce9796c0f2ac,verified,yes,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-330_01-2-550x333.jpg,https://soto.shinfuji.co.jp/products/st-330/,レギュレーターストーブ FUSION ST-330 - ST-330 - 189ef945.png,tmp/gear-images/manual-image-todo/by-brand/SOTO
SOTO,レギュレーターストーブ Range ST-340,ST-340,c098eaa3-3137-4f83-9c29-9b675650ad8d,verified,yes,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-340_01-2-550x413.jpg,https://soto.shinfuji.co.jp/products/st-340/,レギュレーターストーブ Range ST-340 - ST-340 - c098eaa3.png,tmp/gear-images/manual-image-todo/by-brand/SOTO
SOTO,レギュレーターストーブ ST-310,ST-310,6d2697c0-e63e-4585-9077-a7dce1c30bff,verified,yes,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-310_01-1-550x412.jpg,https://soto.shinfuji.co.jp/products/st-310/,レギュレーターストーブ ST-310 - ST-310 - 6d2697c0.png,tmp/gear-images/manual-image-todo/by-brand/SOTO
SOTO,レギュレーターストーブ TriTrail ST-350,ST-350,e6a9b1a3-0adf-4c08-8d39-7d87f2d79344,verified,yes,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-350_01-550x508.jpg,https://soto.shinfuji.co.jp/products/st-350/,レギュレーターストーブ TriTrail ST-350 - ST-350 - e6a9b1a3.png,tmp/gear-images/manual-image-todo/by-brand/SOTO
SOTO,レギュレーターストーブ専用アシストグリップ ルミナス,ST-3105LU,9b0414c4-42d6-4665-862b-2a64a3426f96,verified,yes,https://soto.shinfuji.co.jp/wp-content/uploads/products/ST-3105LU_kikaku_01.jpg,https://soto.shinfuji.co.jp/products/st-3105lu/,レギュレーターストーブ専用アシストグリップ ルミナス - ST-3105LU - 9b0414c4.png,tmp/gear-images/manual-image-todo/by-brand/SOTO
