brand,name_ja,model,id,verification_status,has_image,current_image_url,official_url,recommended_filename,target_folder
THE NORTH FACE,アークティック48,アークティック48,6cb0d9b4-c709-447b-a263-0a7a68bf41ab,verified,yes,https://itemimg.goldwin.co.jp/itemimg/GDW01/A0GDW00018QL/02_I254-432.jpg,https://www.goldwin.co.jp/ap/item/i/m/NM62350,アークティック48 - 6cb0d9b4.png,tmp/gear-images/manual-image-todo/by-brand/THE NORTH FACE
THE NORTH FACE,エタ 30,エタ 30,07cfc779-a54a-481b-afd4-796c4ed293cc,verified,yes,https://itemimg.goldwin.co.jp/itemimg/GDW01/A0GDW0001QYA/02_BD77-432.jpg,https://www.goldwin.co.jp/ap/item/i/m/NM62561,エタ 30 - 07cfc779.png,tmp/gear-images/manual-image-todo/by-brand/THE NORTH FACE
THE NORTH FACE,エタ 40,エタ 40,8e060d40-fd3c-4f26-a7b5-16d20246ae23,verified,yes,https://itemimg.goldwin.co.jp/itemimg/GDW01/A0GDW0001QY9/02_BD77-432.jpg,https://www.goldwin.co.jp/ap/item/i/m/NM62560,エタ 40 - 8e060d40.png,tmp/gear-images/manual-image-todo/by-brand/THE NORTH FACE
THE NORTH FACE,エフピー26,エフピー26,001fe9e4-5704-4e36-b615-8301185993d7,verified,yes,https://itemimg.goldwin.co.jp/itemimg/GDW01/A0GDW0001EIF/02_J906-432.jpg,https://www.goldwin.co.jp/ap/item/i/m/NM62455,エフピー26 - 001fe9e4.png,tmp/gear-images/manual-image-todo/by-brand/THE NORTH FACE
THE NORTH FACE,クレストン ネオ ミッド ゴアテックス（ユニセックス）,クレストン ネオ ミッド ゴアテックス（ユニセックス）,00837b12-fb36-4d28-8902-20fa2b14c0f9,verified,yes,https://itemimg.goldwin.co.jp/itemimg/GDW01/A0GDW0001NG0/02_R477-432.jpg,https://www.goldwin.co.jp/ap/item/i/m/NF52612,クレストン ネオ ミッド ゴアテックス(ユニセックス) - 00837b12.png,tmp/gear-images/manual-image-todo/by-brand/THE NORTH FACE
THE NORTH FACE,クレストン ハイク ウォータープルーフ（メンズ）,クレストン ハイク ウォータープルーフ（メンズ）,60f4b47d-9b8f-4028-8042-908aed07c107,verified,yes,https://itemimg.goldwin.co.jp/itemimg/GDW01/A0GDW0001BVQ/02_AZ77-432.jpg,https://www.goldwin.co.jp/ap/item/i/m/NF52410,クレストン ハイク ウォータープルーフ(メンズ) - 60f4b47d.png,tmp/gear-images/manual-image-todo/by-brand/THE NORTH FACE
THE NORTH FACE,クレストン ハイク ウォータープルーフ（レディース）,クレストン ハイク ウォータープルーフ（レディース）,3c31e9a1-e452-430d-9494-1670c62e79f9,verified,yes,https://itemimg.goldwin.co.jp/itemimg/GDW01/A0GDW0001BVZ/02_AZ77-432.jpg,https://www.goldwin.co.jp/ap/item/i/m/NFW52410,クレストン ハイク ウォータープルーフ(レディース) - 3c31e9a1.png,tmp/gear-images/manual-image-todo/by-brand/THE NORTH FACE
THE NORTH FACE,クレストン ハイク ミッド ウォータープルーフ（メンズ）,クレストン ハイク ミッド ウォータープルーフ（メンズ）,ac22ace5-1e03-4f04-bc5f-0ce02ae22ba5,verified,yes,https://itemimg.goldwin.co.jp/itemimg/GDW01/A0GDW00018OI/02_AZ77-432.jpg,https://www.goldwin.co.jp/ap/item/i/m/NF52321,クレストン ハイク ミッド ウォータープルーフ(メンズ) - ac22ace5.png,tmp/gear-images/manual-image-todo/by-brand/THE NORTH FACE
THE NORTH FACE,クレストン ハイク ミッド ウォータープルーフ（レディース）,クレストン ハイク ミッド ウォータープルーフ（レディース）,cc0a0f0f-e5cf-492f-b4af-60e6a9fcbe5a,verified,yes,https://itemimg.goldwin.co.jp/itemimg/GDW01/A0GDW00018PL/02_AZ77-432.jpg,https://www.goldwin.co.jp/ap/item/i/m/NFW52321,クレストン ハイク ミッド ウォータープルーフ(レディース) - cc0a0f0f.png,tmp/gear-images/manual-image-todo/by-brand/THE NORTH FACE
THE NORTH FACE,コブラ65,コブラ65,5e9f598e-fac2-4674-b423-9c3c0dd68f25,verified,yes,https://itemimg.goldwin.co.jp/itemimg/GDW01/A0GDW00018QQ/02_U074-432.jpg,https://www.goldwin.co.jp/ap/item/i/m/NM62355,コブラ65 - 5e9f598e.png,tmp/gear-images/manual-image-todo/by-brand/THE NORTH FACE
