brand,name_ja,model,id,verification_status,has_image,current_image_url,official_url,recommended_filename,target_folder
mont-bell,U.L. コンフォートシステム アルパインパッド25 150,U.L. コンフォートシステム アルパインパッド25 150,9d47048d-32f5-4ed7-be63-5ef33f26ca3d,verified,yes,https://webshop.montbell.jp/common/images/product/prod_s/s_1124660_ssog.jpg,https://webshop.montbell.jp/goods/disp.php?product_id=1124660,U.L. コンフォートシステム アルパインパッド25 150 - 9d47048d.png,tmp/gear-images/manual-image-todo/by-brand/mont-bell
mont-bell,U.L. コンフォートシステム アルパインパッド25 180,U.L. コンフォートシステム アルパインパッド25 180,ec497f1a-49f2-4c36-aef7-bd53f562dd01,verified,yes,https://webshop.montbell.jp/common/images/product/prod_s/s_1124659_ssog.jpg,https://webshop.montbell.jp/goods/disp.php?product_id=1124659,U.L. コンフォートシステム アルパインパッド25 180 - ec497f1a.png,tmp/gear-images/manual-image-todo/by-brand/mont-bell
mont-bell,WIC.ライト シングルポケット ロングスリーブシャツ Men's,WIC.ライト シングルポケット ロングスリーブシャツ Men's,7cefdf8d-ba76-4968-884b-cdbbd6eb2f38,verified,yes,https://webshop.montbell.jp/common/images/product/prod_s/s_1114834_dbn.jpg,https://webshop.montbell.jp/goods/disp.php?product_id=1114834,WIC.ライト シングルポケット ロングスリーブシャツ Men's - 7cefdf8d.png,tmp/gear-images/manual-image-todo/by-brand/mont-bell
mont-bell,アルパインクッカー 11 ディープ,アルパインクッカー 11 ディープ,5616fead-427c-46aa-bc07-71ea269b4cdb,verified,yes,https://webshop.montbell.jp/common/images/product/prod_s/s1124905.jpg,https://webshop.montbell.jp/goods/disp.php?product_id=1124905,アルパインクッカー 11 ディープ - 5616fead.png,tmp/gear-images/manual-image-todo/by-brand/mont-bell
mont-bell,アルパインクッカー 11+13 セット ディープ,アルパインクッカー 11+13 セット ディープ,0091ed70-6558-42a7-bda5-651e1cd52975,verified,yes,https://webshop.montbell.jp/common/images/product/prod_s/s1124907.jpg,https://webshop.montbell.jp/goods/disp.php?product_id=1124907,アルパインクッカー 11+13 セット ディープ - 0091ed70.png,tmp/gear-images/manual-image-todo/by-brand/mont-bell
mont-bell,アルパインクッカー 14,アルパインクッカー 14,fafbeb38-a8b8-4c5d-8e76-14bc06306e37,verified,yes,https://webshop.montbell.jp/common/images/product/prod_s/s1124900.jpg,https://webshop.montbell.jp/goods/disp.php?product_id=1124900,アルパインクッカー 14 - fafbeb38.png,tmp/gear-images/manual-image-todo/by-brand/mont-bell
mont-bell,アルパインクッカー 16,アルパインクッカー 16,24ea793d-b076-4224-851c-ff6d2cd0e451,verified,yes,https://webshop.montbell.jp/common/images/product/prod_s/s1124901.jpg,https://webshop.montbell.jp/goods/disp.php?product_id=1124901,アルパインクッカー 16 - 24ea793d.png,tmp/gear-images/manual-image-todo/by-brand/mont-bell
mont-bell,アルパインクッカー 18,アルパインクッカー 18,e47ec569-5276-4eee-b8d4-2b9548770a50,verified,yes,https://webshop.montbell.jp/common/images/product/prod_s/s1124902.jpg,https://webshop.montbell.jp/goods/disp.php?product_id=1124902,アルパインクッカー 18 - e47ec569.png,tmp/gear-images/manual-image-todo/by-brand/mont-bell
mont-bell,アルパインクッカー 20,アルパインクッカー 20,bda32281-2044-4232-a7e8-7de51e7f25b0,verified,yes,https://webshop.montbell.jp/common/images/product/prod_s/s1124903.jpg,https://webshop.montbell.jp/goods/disp.php?product_id=1124903,アルパインクッカー 20 - bda32281.png,tmp/gear-images/manual-image-todo/by-brand/mont-bell
mont-bell,アルパインクッカー ソロセット,アルパインクッカー ソロセット,d7b83d0c-fdde-4521-9fc5-6a5bf8a9ea81,verified,yes,https://webshop.montbell.jp/common/images/product/prod_s/s1124911.jpg,https://webshop.montbell.jp/goods/disp.php?product_id=1124911,アルパインクッカー ソロセット - d7b83d0c.png,tmp/gear-images/manual-image-todo/by-brand/mont-bell
