brand,name_ja,model,id,verification_status,has_image,current_image_url,official_url,recommended_filename,target_folder
Black Diamond,アストロ300-R,アストロ300-R,2f1b2fef-c59f-43b7-bbe4-6e22b11a59f8,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD81314002_S.webp,https://www.lostarrow.co.jp/store/g/gBD81314002/,アストロ300-R - 2f1b2fef.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,ガイドグローブ,ガイドグローブ,b9044ada-2cd3-484b-b18f-f61ef26ce419,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD75055002_S.webp,https://www.lostarrow.co.jp/store/g/gBD75055002005/,ガイドグローブ - b9044ada.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,キャピタンE,キャピタンE,ac1c592e-90cc-43b7-8f6b-1d97740864fd,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD12060001_S.webp,https://www.lostarrow.co.jp/store/g/gBD12060001004/,キャピタンE - ac1c592e.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,コズモ350,コズモ350,ba3ddad5-f0b7-4db0-8ed3-f3dac1332104,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD81309003_S.webp,https://www.lostarrow.co.jp/store/g/gBD81309003/,コズモ350 - ba3ddad5.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,コズモ350-R,コズモ350-R,012c8512-7a8b-450b-8573-251c7be4b8c8,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD81313002_S.webp,https://www.lostarrow.co.jp/store/g/gBD81313002/,コズモ350-R - 012c8512.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,コンタクト ストラップ,コンタクト ストラップ,083cb815-82b5-4270-bc8a-eaaf6d969d5b,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD33060_S.webp,https://www.lostarrow.co.jp/store/g/gBD33060/,コンタクト ストラップ - 083cb815.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,サイボーグ プロ,サイボーグ プロ,02163389-ca2b-4734-a7e7-515802fa4bd4,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD33082_S.webp,https://www.lostarrow.co.jp/store/g/gBD33082/,サイボーグ プロ - 02163389.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,ストーム450,ストーム450,54eabf33-d3cd-4b39-b88b-311b9147dec2,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD81307002_S.webp,https://www.lostarrow.co.jp/store/g/gBD81307002/,ストーム450 - 54eabf33.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,ストーム500-R,ストーム500-R,b66c770c-8a36-43ce-955c-9fd7e9db896e,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD81311002_S.webp,https://www.lostarrow.co.jp/store/g/gBD81311002/,ストーム500-R - b66c770c.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,スピード22,スピード22,68515b6d-60cf-4e86-a2aa-354882913265,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD54058001_S.webp,https://www.lostarrow.co.jp/store/g/gBD54058001/,スピード22 - 68515b6d.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,スピード30,スピード30,75a8d5a1-a3c7-40a3-81d4-8cff830735ef,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD54057001_S.webp,https://www.lostarrow.co.jp/store/g/gBD54057001006/,スピード30 - 75a8d5a1.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,スピード40,スピード40,e0c93b9d-2298-4d4a-95bc-84f448f9d131,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD54056001_S.webp,https://www.lostarrow.co.jp/store/g/gBD54056001006/,スピード40 - e0c93b9d.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,スポット400,スポット400,8d0fc6d4-f1ae-499f-9c30-13c127e96992,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD81308001_S.webp,https://www.lostarrow.co.jp/store/g/gBD81308001/,スポット400 - 8d0fc6d4.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,スポット400-R,スポット400-R,e9c3c6a1-530b-4535-9d03-5ad3524be2cd,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD81312003_S.webp,https://www.lostarrow.co.jp/store/g/gBD81312003/,スポット400-R - e9c3c6a1.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,セイバートゥース プロ,セイバートゥース プロ,b7a39e18-93fa-4c68-83b9-41ee5469d63b,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD33080_S.webp,https://www.lostarrow.co.jp/store/g/gBD33080/,セイバートゥース プロ - b7a39e18.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,セラック クリップ,セラック クリップ,f5b334e7-7c49-4d20-9fcb-8b2080eeecfb,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD33054_S.webp,https://www.lostarrow.co.jp/store/g/gBD33054/,セラック クリップ - f5b334e7.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,セラック ストラップ,セラック ストラップ,30967eb4-3875-460e-bc6e-8a7f40e27527,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD33055_S.webp,https://www.lostarrow.co.jp/store/g/gBD33055/,セラック ストラップ - 30967eb4.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,ソロイストグローブ,ソロイストグローブ,41a4c501-7e8c-4a2d-bc65-b5ef79e45dc1,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD73080001_S.webp,https://www.lostarrow.co.jp/store/g/gBD73080001005/,ソロイストグローブ - 41a4c501.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,ディスタンス1500,ディスタンス1500,a1c9c69e-c2a7-4a14-8067-9bf0674b755a,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD81316001_S.webp,https://www.lostarrow.co.jp/store/g/gBD81316001/,ディスタンス1500 - a1c9c69e.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,ディスタンスLT1100,ディスタンスLT1100,e40dd023-208f-4588-a42c-73d88514ac25,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD81318001_S.webp,https://www.lostarrow.co.jp/store/g/gBD81318001/,ディスタンスLT1100 - e40dd023.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,ディスタンスZ,ディスタンスZ,ec5796b8-3cf6-4c01-b849-208c1fec2a5a,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD82288120_S.webp,https://www.lostarrow.co.jp/store/g/gBD82288120/,ディスタンスZ - ec5796b8.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,ディスタンスカーボンFLZ,ディスタンスカーボンFLZ,035078c0-b02d-4b48-90cb-f00dedbc33b9,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD82508001_S.webp,https://www.lostarrow.co.jp/store/g/gBD82508001125/,ディスタンスカーボンFLZ - 035078c0.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,ディスタンスカーボンZ,ディスタンスカーボンZ,42746d92-2bba-49c2-b078-8ecce950f414,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD82507001_S.webp,https://www.lostarrow.co.jp/store/g/gBD82507001120/,ディスタンスカーボンZ - 42746d92.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,ディスタンスカーボンZ FKT,ディスタンスカーボンZ FKT,699ae3b8-114f-4828-a913-7ec17d96008d,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD82510001_S.webp,https://www.lostarrow.co.jp/store/g/gBD82510001120/,ディスタンスカーボンZ FKT - 699ae3b8.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,ディプロイ325,ディプロイ325,8d26302c-f71f-45ab-a28d-e6dcd2811114,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD81315001_S.webp,https://www.lostarrow.co.jp/store/g/gBD81315001/,ディプロイ325 - 8d26302c.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,ディプロイウィンドフードグローブ,ディプロイウィンドフードグローブ,e28139e0-a2e7-4545-8887-3009a6cc5ffc,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD77331001_S.webp,https://www.lostarrow.co.jp/store/g/gBD77331001005/,ディプロイウィンドフードグローブ - e28139e0.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,ディプロイグローブ,ディプロイグローブ,5048da87-4df5-44bc-96f7-c4ef2ce9ecf3,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD77330001_S.webp,https://www.lostarrow.co.jp/store/g/gBD77330001005/,ディプロイグローブ - 5048da87.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,トレイル,トレイル,9a330df7-3e19-4575-a073-6046621a7f84,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD82505001_S.webp,https://www.lostarrow.co.jp/store/g/gBD82505001/,トレイル - 9a330df7.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,トレイルバック,トレイルバック,4e4e5f35-6a9e-48c5-8151-bfdc762f13d2,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD82405001_S.webp,https://www.lostarrow.co.jp/store/g/gBD82405001/,トレイルバック - 4e4e5f35.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,トレイルビスタ20,トレイルビスタ20,510371ed-7807-48ac-8171-4da7377c8c8f,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD53103001_S.webp,https://www.lostarrow.co.jp/store/g/gBD53103001006/,トレイルビスタ20 - 510371ed.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,トレイルビスタ28,トレイルビスタ28,236bf030-9c1e-4cef-a611-9a43babb53e9,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD53104001_S.webp,https://www.lostarrow.co.jp/store/g/gBD53104001006/,トレイルビスタ28 - 236bf030.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,トレイルビスタFLZ,トレイルビスタFLZ,b638d162-55be-4ae2-a3e0-c75593bc7aa0,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD82512001_S.webp,https://www.lostarrow.co.jp/store/g/gBD82512001125/,トレイルビスタFLZ - b638d162.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,ネーベ ストラップ,ネーベ ストラップ,9346bc3a-c82f-459e-8a7e-8ef304624961,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD33085_S.webp,https://www.lostarrow.co.jp/store/g/gBD33085/,ネーベ ストラップ - 9346bc3a.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,ネーベ プロ,ネーベ プロ,9a3bf812-d83e-489b-9ac4-bac07af8cb1b,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD33065_S.webp,https://www.lostarrow.co.jp/store/g/gBD33065/,ネーベ プロ - 9a3bf812.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,パーシュートカーボンFLZ,パーシュートカーボンFLZ,65a0c105-b964-4500-9618-28eea07f9951,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD82513001_S.webp,https://www.lostarrow.co.jp/store/g/gBD82513001125/,パーシュートカーボンFLZ - 65a0c105.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,ハーフドーム,ハーフドーム,9bd1eefd-59d4-4305-a3a3-e21031bedd1c,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD12012002_S.webp,https://www.lostarrow.co.jp/store/g/gBD12012002004/,ハーフドーム - 9bd1eefd.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,ハーフドーム ウィメンズ,ハーフドーム ウィメンズ,71fca4da-1626-4f99-a240-36bd33ebc393,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD12020003_S.webp,https://www.lostarrow.co.jp/store/g/gBD12020003001/,ハーフドーム ウィメンズ - 71fca4da.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,ハイブリッドライトグローブ,ハイブリッドライトグローブ,8cad2910-3c87-4a81-9923-dd72413d1d63,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD77332001_S.webp,https://www.lostarrow.co.jp/store/g/gBD77332001005/,ハイブリッドライトグローブ - 8cad2910.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,ビジョン,ビジョン,68037d5a-ec2b-4efe-97d8-226830d1c780,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD12055001_S.webp,https://www.lostarrow.co.jp/store/g/gBD12055001001/,ビジョン - 68037d5a.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,ビジョン MIPS,ビジョン MIPS,82923d32-a686-49d5-b40d-1a9c79a23169,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD12057001_S.webp,https://www.lostarrow.co.jp/store/g/gBD12057001001/,ビジョン MIPS - 82923d32.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,ブリッツ20,ブリッツ20,a4019591-f88f-40f1-a894-3289e4e81a95,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD54083001_S.webp,https://www.lostarrow.co.jp/store/g/gBD54083001/,ブリッツ20 - a4019591.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,ブリッツ28,ブリッツ28,e1781e4b-0177-4890-942d-50fef4a73958,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD54082001_S.webp,https://www.lostarrow.co.jp/store/g/gBD54082001/,ブリッツ28 - e1781e4b.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,ベイパー,ベイパー,add26c8d-42b3-4090-ba2d-99bdb82585a1,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD12051001_S.webp,https://www.lostarrow.co.jp/store/g/gBD12051001004/,ベイパー - add26c8d.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,ベノム アッズ,ベノム アッズ,4e05a8b4-9fb1-4ab8-ba8a-fa58cd17e860,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD31203057_S.webp,https://www.lostarrow.co.jp/store/g/gBD31203057/,ベノム アッズ - 4e05a8b4.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,ベノムLT クラシック,ベノムLT クラシック,64d2f750-678f-43fc-a17e-6c2f3ef19da5,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD31195045_S.webp,https://www.lostarrow.co.jp/store/g/gBD31195045/,ベノムLT クラシック - 64d2f750.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,ヘビーウェイト スクリーンタップライナー,ヘビーウェイト スクリーンタップライナー,6eb39336-f220-49cf-ac6a-8eb81a08c09e,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD77325001_S.webp,https://www.lostarrow.co.jp/store/g/gBD77325001006/,ヘビーウェイト スクリーンタップライナー - 6eb39336.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,ミッション55,ミッション55,08e2c811-39d8-4020-8c93-b12345bb8f64,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD54053001_S.webp,https://www.lostarrow.co.jp/store/g/gBD54053001006/,ミッション55 - 08e2c811.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
Black Diamond,ミッドウェイト スクリーンタップライナー,ミッドウェイト スクリーンタップライナー,5d9c589d-28ac-4203-9f10-9168bde370c3,verified,yes,https://www.lostarrow.co.jp/img/goods/S/BD77323001_S.webp,https://www.lostarrow.co.jp/store/g/gBD77323001003/,ミッドウェイト スクリーンタップライナー - 5d9c589d.png,tmp/gear-images/manual-image-todo/by-brand/Black Diamond
