id,brand,name_ja,model,batch_name,source_file,managed_file
c7382ce1-291a-4657-ade2-0b403ab6fe26,Columbia,キャッスルロック25LバックパックII,Castle Rock 25L Backpack II,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/c7382ce1-291a-4657-ade2-0b403ab6fe26.png,processed/by-brand-all/Columbia/キャッスルロック25LバックパックII - Castle Rock 25L Backpack II - c7382ce1.png
67ca7d30-5e06-4f12-ad78-540f8616e00b,MILLET,クーラ 30,KULA 30,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/67ca7d30-5e06-4f12-ad78-540f8616e00b.png,processed/by-brand-all/MILLET/クーラ 30 - KULA 30 - 67ca7d30.png
b1dfb9a4-8726-4598-8f8b-f9b254003ff5,Mammut,リチウム 20,Lithium 20,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/b1dfb9a4-8726-4598-8f8b-f9b254003ff5.png,processed/by-brand-all/Mammut/リチウム 20 - Lithium 20 - b1dfb9a4.png
5656a1c3-9d4f-41f7-9f71-13f0e62b5683,Mammut,リチウム 25,Lithium 25,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/5656a1c3-9d4f-41f7-9f71-13f0e62b5683.png,processed/by-brand-all/Mammut/リチウム 25 - Lithium 25 - 5656a1c3.png
421e72e8-2d2d-418d-bcf4-c22cc9f1bf48,Mammut,リチウム 30,Lithium 30,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/421e72e8-2d2d-418d-bcf4-c22cc9f1bf48.png,processed/by-brand-all/Mammut/リチウム 30 - Lithium 30 - 421e72e8.png
907deb26-a00d-4f66-ba01-b4d1314fb6f6,山と道,MINI,MINI,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/907deb26-a00d-4f66-ba01-b4d1314fb6f6.png,processed/by-brand-all/山と道/MINI - 907deb26.png
6e6729e8-6813-487f-bdf5-76792afdce37,山と道,MINI2,MINI2,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/6e6729e8-6813-487f-bdf5-76792afdce37.png,processed/by-brand-all/山と道/MINI2 - 6e6729e8.png
b29f6998-7b4a-4180-b213-2012d76477dd,山と道,ONE,ONE,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/b29f6998-7b4a-4180-b213-2012d76477dd.png,processed/by-brand-all/山と道/ONE - b29f6998.png
d467d631-38cb-4b8f-8bee-a86c9e40bcfa,MILLET,サースフェー NX 30+5,SAAS FEE NX 30+5,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/d467d631-38cb-4b8f-8bee-a86c9e40bcfa.png,processed/by-brand-all/MILLET/サースフェー NX 30+5 - SAAS FEE NX 30+5 - d467d631.png
79c163a6-d0fa-4016-af42-07d5d56dd254,MILLET,サースフェー NX 40+5,SAAS FEE NX 40+5,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/79c163a6-d0fa-4016-af42-07d5d56dd254.png,processed/by-brand-all/MILLET/サースフェー NX 40+5 - SAAS FEE NX 40+5 - 79c163a6.png
b3950d31-612e-4c96-aa9c-5077ded3f09d,山と道,THREE,THREE,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/b3950d31-612e-4c96-aa9c-5077ded3f09d.png,processed/by-brand-all/山と道/THREE - b3950d31.png
671b003d-6cdf-4c4c-9975-512953b77270,GREGORY,ズール 30,Zulu 30,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/671b003d-6cdf-4c4c-9975-512953b77270.png,processed/by-brand-all/GREGORY/ズール 30 - Zulu 30 - 671b003d.png
76a73e13-d550-40d5-a325-3db3d08d41de,NEMO,Dragonfly OSMO™ 1P,Dragonfly OSMO 1P,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/76a73e13-d550-40d5-a325-3db3d08d41de.png,processed/by-brand-all/NEMO/Dragonfly OSMO™ 1P - Dragonfly OSMO 1P - 76a73e13.png
f527b827-fe3f-443c-918d-42a4928a4d93,NEMO,Dragonfly OSMO™ 2P,Dragonfly OSMO 2P,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/f527b827-fe3f-443c-918d-42a4928a4d93.png,processed/by-brand-all/NEMO/Dragonfly OSMO™ 2P - Dragonfly OSMO 2P - f527b827.png
3ec06530-57cb-42ab-b2ab-cd7b902eca8b,NEMO,Dragonfly OSMO™ 3P,Dragonfly OSMO 3P,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/3ec06530-57cb-42ab-b2ab-cd7b902eca8b.png,processed/by-brand-all/NEMO/Dragonfly OSMO™ 3P - Dragonfly OSMO 3P - 3ec06530.png
6b2ff5cb-608f-47e4-b402-6740c577efa5,NEMO,Hornet™ OSMO™ 1P,Hornet OSMO 1P,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/6b2ff5cb-608f-47e4-b402-6740c577efa5.png,processed/by-brand-all/NEMO/Hornet™ OSMO™ 1P - Hornet OSMO 1P - 6b2ff5cb.png
