brand,name_ja,model,id,output_path,managed_file,source_image_url
Black Diamond,アストロ300-R,アストロ300-R,2f1b2fef-c59f-43b7-bbe4-6e22b11a59f8,tmp/gear-images/processed/catalog-brand-existing-visible/2f1b2fef-c59f-43b7-bbe4-6e22b11a59f8.png,tmp/gear-images/processed/catalog-brand-existing-visible/by-brand/Black Diamond/アストロ300-R - 2f1b2fef.png,https://www.lostarrow.co.jp/img/goods/S/BD81314002_S.webp
Black Diamond,ガイドグローブ,ガイドグローブ,b9044ada-2cd3-484b-b18f-f61ef26ce419,tmp/gear-images/processed/catalog-brand-existing-visible/b9044ada-2cd3-484b-b18f-f61ef26ce419.png,tmp/gear-images/processed/catalog-brand-existing-visible/by-brand/Black Diamond/ガイドグローブ - b9044ada.png,https://www.lostarrow.co.jp/img/goods/S/BD75055002_S.webp
Black Diamond,キャピタンE,キャピタンE,ac1c592e-90cc-43b7-8f6b-1d97740864fd,tmp/gear-images/processed/catalog-brand-existing-visible/ac1c592e-90cc-43b7-8f6b-1d97740864fd.png,tmp/gear-images/processed/catalog-brand-existing-visible/by-brand/Black Diamond/キャピタンE - ac1c592e.png,https://www.lostarrow.co.jp/img/goods/S/BD12060001_S.webp
Black Diamond,コズモ350,コズモ350,ba3ddad5-f0b7-4db0-8ed3-f3dac1332104,tmp/gear-images/processed/catalog-brand-existing-visible/ba3ddad5-f0b7-4db0-8ed3-f3dac1332104.png,tmp/gear-images/processed/catalog-brand-existing-visible/by-brand/Black Diamond/コズモ350 - ba3ddad5.png,https://www.lostarrow.co.jp/img/goods/S/BD81309003_S.webp
Black Diamond,コズモ350-R,コズモ350-R,012c8512-7a8b-450b-8573-251c7be4b8c8,tmp/gear-images/processed/catalog-brand-existing-visible/012c8512-7a8b-450b-8573-251c7be4b8c8.png,tmp/gear-images/processed/catalog-brand-existing-visible/by-brand/Black Diamond/コズモ350-R - 012c8512.png,https://www.lostarrow.co.jp/img/goods/S/BD81313002_S.webp
Black Diamond,コンタクト ストラップ,コンタクト ストラップ,083cb815-82b5-4270-bc8a-eaaf6d969d5b,tmp/gear-images/processed/catalog-brand-existing-visible/083cb815-82b5-4270-bc8a-eaaf6d969d5b.png,tmp/gear-images/processed/catalog-brand-existing-visible/by-brand/Black Diamond/コンタクト ストラップ - 083cb815.png,https://www.lostarrow.co.jp/img/goods/S/BD33060_S.webp
Black Diamond,サイボーグ プロ,サイボーグ プロ,02163389-ca2b-4734-a7e7-515802fa4bd4,tmp/gear-images/processed/catalog-brand-existing-visible/02163389-ca2b-4734-a7e7-515802fa4bd4.png,tmp/gear-images/processed/catalog-brand-existing-visible/by-brand/Black Diamond/サイボーグ プロ - 02163389.png,https://www.lostarrow.co.jp/img/goods/S/BD33082_S.webp
Black Diamond,ストーム450,ストーム450,54eabf33-d3cd-4b39-b88b-311b9147dec2,tmp/gear-images/processed/catalog-brand-existing-visible/54eabf33-d3cd-4b39-b88b-311b9147dec2.png,tmp/gear-images/processed/catalog-brand-existing-visible/by-brand/Black Diamond/ストーム450 - 54eabf33.png,https://www.lostarrow.co.jp/img/goods/S/BD81307002_S.webp
Black Diamond,ストーム500-R,ストーム500-R,b66c770c-8a36-43ce-955c-9fd7e9db896e,tmp/gear-images/processed/catalog-brand-existing-visible/b66c770c-8a36-43ce-955c-9fd7e9db896e.png,tmp/gear-images/processed/catalog-brand-existing-visible/by-brand/Black Diamond/ストーム500-R - b66c770c.png,https://www.lostarrow.co.jp/img/goods/S/BD81311002_S.webp
Black Diamond,スピード22,スピード22,68515b6d-60cf-4e86-a2aa-354882913265,tmp/gear-images/processed/catalog-brand-existing-visible/68515b6d-60cf-4e86-a2aa-354882913265.png,tmp/gear-images/processed/catalog-brand-existing-visible/by-brand/Black Diamond/スピード22 - 68515b6d.png,https://www.lostarrow.co.jp/img/goods/S/BD54058001_S.webp
Black Diamond,スピード30,スピード30,75a8d5a1-a3c7-40a3-81d4-8cff830735ef,tmp/gear-images/processed/catalog-brand-existing-visible/75a8d5a1-a3c7-40a3-81d4-8cff830735ef.png,tmp/gear-images/processed/catalog-brand-existing-visible/by-brand/Black Diamond/スピード30 - 75a8d5a1.png,https://www.lostarrow.co.jp/img/goods/S/BD54057001_S.webp
Black Diamond,スピード40,スピード40,e0c93b9d-2298-4d4a-95bc-84f448f9d131,tmp/gear-images/processed/catalog-brand-existing-visible/e0c93b9d-2298-4d4a-95bc-84f448f9d131.png,tmp/gear-images/processed/catalog-brand-existing-visible/by-brand/Black Diamond/スピード40 - e0c93b9d.png,https://www.lostarrow.co.jp/img/goods/S/BD54056001_S.webp
Black Diamond,スポット400,スポット400,8d0fc6d4-f1ae-499f-9c30-13c127e96992,tmp/gear-images/processed/catalog-brand-existing-visible/8d0fc6d4-f1ae-499f-9c30-13c127e96992.png,tmp/gear-images/processed/catalog-brand-existing-visible/by-brand/Black Diamond/スポット400 - 8d0fc6d4.png,https://www.lostarrow.co.jp/img/goods/S/BD81308001_S.webp
Black Diamond,スポット400-R,スポット400-R,e9c3c6a1-530b-4535-9d03-5ad3524be2cd,tmp/gear-images/processed/catalog-brand-existing-visible/e9c3c6a1-530b-4535-9d03-5ad3524be2cd.png,tmp/gear-images/processed/catalog-brand-existing-visible/by-brand/Black Diamond/スポット400-R - e9c3c6a1.png,https://www.lostarrow.co.jp/img/goods/S/BD81312003_S.webp
Black Diamond,セイバートゥース プロ,セイバートゥース プロ,b7a39e18-93fa-4c68-83b9-41ee5469d63b,tmp/gear-images/processed/catalog-brand-existing-visible/b7a39e18-93fa-4c68-83b9-41ee5469d63b.png,tmp/gear-images/processed/catalog-brand-existing-visible/by-brand/Black Diamond/セイバートゥース プロ - b7a39e18.png,https://www.lostarrow.co.jp/img/goods/S/BD33080_S.webp
