brand,name_ja,model,category_label,id,managed_file,original_processed_file,source_image_url
Caravan,C1_02S,C1_02S,ウェア（Clothing）,71dd593e-f4a5-400d-a859-db589a6a7af6,tmp/gear-images/processed/catalog-first-page-visible/by-brand/Caravan/C1_02S - 71dd593e.png,tmp/gear-images/processed/catalog-first-page-visible/71dd593e-f4a5-400d-a859-db589a6a7af6.png,https://caravan.itembox.cloud/product/000/000000000007/000000000007-01.jpg?size=l&w=ODAw&t=20250822184241
Caravan,C4_03,C4_03,ウェア（Clothing）,e9c40673-76bb-4c0f-b11f-17880158fc7b,tmp/gear-images/processed/catalog-first-page-visible/by-brand/Caravan/C4_03 - e9c40673.png,tmp/gear-images/processed/catalog-first-page-visible/e9c40673-76bb-4c0f-b11f-17880158fc7b.png,https://caravan.itembox.cloud/product/000/000000000008/000000000008-01.jpg?size=l&w=ODAw&t=20250822183255
Columbia,キャッスルロック25LバックパックII,Castle Rock 25L Backpack II,バックパック（Backpack）,c7382ce1-291a-4657-ade2-0b403ab6fe26,tmp/gear-images/processed/catalog-first-page-visible/by-brand/Columbia/キャッスルロック25LバックパックII - Castle Rock 25L Backpack II - c7382ce1.png,tmp/gear-images/processed/catalog-first-page-visible/c7382ce1-291a-4657-ade2-0b403ab6fe26.png,https://www.columbiasports.co.jp/img/goods/S/S26_PU8662_536_C.jpg
finetrack,カミナドーム1,カミナドーム1,テント・シェルター（Tent / Shelter）,32adc51e-9fbe-4a77-8869-2266f40e5692,tmp/gear-images/processed/catalog-first-page-visible/by-brand/finetrack/カミナドーム1 - 32adc51e.png,tmp/gear-images/processed/catalog-first-page-visible/32adc51e-9fbe-4a77-8869-2266f40e5692.png,https://www.finetrack.com/assets/img/products/kamina-dome/im-sec1-02.jpg?v2
finetrack,カミナドーム2,カミナドーム2,テント・シェルター（Tent / Shelter）,2e1ddc3a-da38-4e7c-8945-3a636f0e328a,tmp/gear-images/processed/catalog-first-page-visible/by-brand/finetrack/カミナドーム2 - 2e1ddc3a.png,tmp/gear-images/processed/catalog-first-page-visible/2e1ddc3a-da38-4e7c-8945-3a636f0e328a.png,https://www.finetrack.com/assets/img/products/kamina-dome/im-sec1-03.jpg?v2
finetrack,カミナドーム4,カミナドーム4,テント・シェルター（Tent / Shelter）,48b8f3a1-b189-4e0c-8302-04e667cf9010,tmp/gear-images/processed/catalog-first-page-visible/by-brand/finetrack/カミナドーム4 - 48b8f3a1.png,tmp/gear-images/processed/catalog-first-page-visible/48b8f3a1-b189-4e0c-8302-04e667cf9010.png,https://www.finetrack.com/assets/img/products/kamina-dome/im-sec1-20.png
finetrack,カミナモノポール1,カミナモノポール1,テント・シェルター（Tent / Shelter）,19837f12-fc7a-4f4d-abc5-72d961c8a36d,tmp/gear-images/processed/catalog-first-page-visible/by-brand/finetrack/カミナモノポール1 - 19837f12.png,tmp/gear-images/processed/catalog-first-page-visible/19837f12-fc7a-4f4d-abc5-72d961c8a36d.png,https://www.finetrack.com/assets/img/products/kamina-monopole/im-sec2-08.png
finetrack,カミナモノポール2,カミナモノポール2,テント・シェルター（Tent / Shelter）,bce09673-644a-4b49-baf0-ef6b5e962642,tmp/gear-images/processed/catalog-first-page-visible/by-brand/finetrack/カミナモノポール2 - bce09673.png,tmp/gear-images/processed/catalog-first-page-visible/bce09673-644a-4b49-baf0-ef6b5e962642.png,https://www.finetrack.com/assets/img/products/kamina-monopole/im-sec2-09.png?v2
Garmin,eTrex SE,eTrex SE,電子機器（Electronics）,7920db57-54b5-47f7-ab93-d1d2c5e26350,tmp/gear-images/processed/catalog-first-page-visible/by-brand/Garmin/eTrex SE - 7920db57.png,tmp/gear-images/processed/catalog-first-page-visible/7920db57-54b5-47f7-ab93-d1d2c5e26350.png,https://res.garmin.com/en/products/010-02734-00/v/cf-lg.jpg
GREGORY,ズール 30,Zulu 30,バックパック（Backpack）,671b003d-6cdf-4c4c-9975-512953b77270,tmp/gear-images/processed/catalog-first-page-visible/by-brand/GREGORY/ズール 30 - Zulu 30 - 671b003d.png,tmp/gear-images/processed/catalog-first-page-visible/671b003d-6cdf-4c4c-9975-512953b77270.png,https://www.gregory.jp/dw/image/v2/AAWQ_PRD/on/demandware.static/-/Sites-Gregory/default/dwbb4595ed/images/gr-145291/hi-res/145291_0527_hi-res_FRONT34_1.JPG?sw=545&sh=750
Mammut,リチウム 20,Lithium 20,バックパック（Backpack）,b1dfb9a4-8726-4598-8f8b-f9b254003ff5,tmp/gear-images/processed/catalog-first-page-visible/by-brand/Mammut/リチウム 20 - Lithium 20 - b1dfb9a4.png,tmp/gear-images/processed/catalog-first-page-visible/b1dfb9a4-8726-4598-8f8b-f9b254003ff5.png,https://mammt.store-image.jp/img01/201/2530-00720/w_750.h_750/trim_fce_item61baeee8c2cf1.jpg
Mammut,リチウム 25,Lithium 25,バックパック（Backpack）,5656a1c3-9d4f-41f7-9f71-13f0e62b5683,tmp/gear-images/processed/catalog-first-page-visible/by-brand/Mammut/リチウム 25 - Lithium 25 - 5656a1c3.png,tmp/gear-images/processed/catalog-first-page-visible/5656a1c3-9d4f-41f7-9f71-13f0e62b5683.png,https://mammt.store-image.jp/img01/201/2530-00730/w_750.h_750/trim_fce_item67c93ac0b0e83.jpg
Mammut,リチウム 30,Lithium 30,バックパック（Backpack）,421e72e8-2d2d-418d-bcf4-c22cc9f1bf48,tmp/gear-images/processed/catalog-first-page-visible/by-brand/Mammut/リチウム 30 - Lithium 30 - 421e72e8.png,tmp/gear-images/processed/catalog-first-page-visible/421e72e8-2d2d-418d-bcf4-c22cc9f1bf48.png,https://mammt.store-image.jp/img01/201/2530-00740/w_750.h_750/trim_fce_item67c93b0d54ab1.jpg
MILLET,クーラ 30,KULA 30,バックパック（Backpack）,67ca7d30-5e06-4f12-ad78-540f8616e00b,tmp/gear-images/processed/catalog-first-page-visible/by-brand/MILLET/クーラ 30 - KULA 30 - 67ca7d30.png,tmp/gear-images/processed/catalog-first-page-visible/67ca7d30-5e06-4f12-ad78-540f8616e00b.png,https://milletonline.itembox.cloud/product/004/000000000473/000000000473-01.jpg
MILLET,サースフェー NX 30+5,SAAS FEE NX 30+5,バックパック（Backpack）,d467d631-38cb-4b8f-8bee-a86c9e40bcfa,tmp/gear-images/processed/catalog-first-page-visible/by-brand/MILLET/サースフェー NX 30+5 - SAAS FEE NX 30+5 - d467d631.png,tmp/gear-images/processed/catalog-first-page-visible/d467d631-38cb-4b8f-8bee-a86c9e40bcfa.png,https://milletonline.itembox.cloud/product/025/000000002570/000000002570-01.jpg
MILLET,サースフェー NX 40+5,SAAS FEE NX 40+5,バックパック（Backpack）,79c163a6-d0fa-4016-af42-07d5d56dd254,tmp/gear-images/processed/catalog-first-page-visible/by-brand/MILLET/サースフェー NX 40+5 - SAAS FEE NX 40+5 - 79c163a6.png,tmp/gear-images/processed/catalog-first-page-visible/79c163a6-d0fa-4016-af42-07d5d56dd254.png,https://milletonline.itembox.cloud/product/025/000000002568/000000002568-16.jpg
mont-bell,L.W.インナーグローブ Men's,L.W.インナーグローブ Men's,その他（Other）,640eed16-030e-46eb-950a-b9ef91b63b11,tmp/gear-images/processed/catalog-first-page-visible/by-brand/mont-bell/L.W.インナーグローブ Men's - 640eed16.png,tmp/gear-images/processed/catalog-first-page-visible/640eed16-030e-46eb-950a-b9ef91b63b11.png,https://webshop.montbell.jp/common/images/product/prod_s/s_1118994_bk.jpg
mont-bell,L.W.チェーンスパイク,L.W.チェーンスパイク,その他（Other）,d4ce6133-3fef-438e-b28e-4e8708ca8f20,tmp/gear-images/processed/catalog-first-page-visible/by-brand/mont-bell/L.W.チェーンスパイク - d4ce6133.png,tmp/gear-images/processed/catalog-first-page-visible/d4ce6133-3fef-438e-b28e-4e8708ca8f20.png,https://webshop.montbell.jp/common/images/product/prod_s/s_1129685_lgy.jpg
mont-bell,アルパイン カーボンポール,アルパイン カーボンポール,その他（Other）,5f095fd2-14d0-4d86-b13f-f35bc204d6d6,tmp/gear-images/processed/catalog-first-page-visible/by-brand/mont-bell/アルパイン カーボンポール - 5f095fd2.png,tmp/gear-images/processed/catalog-first-page-visible/5f095fd2-14d0-4d86-b13f-f35bc204d6d6.png,https://webshop.montbell.jp/common/images/product/prod_s/s_1140189_carb.jpg
mont-bell,サンダーパス ジャケット Men's,サンダーパス ジャケット Men's,レインウェア（Rainwear）,80ce0129-c378-43a5-abeb-8cb02a77e0d2,tmp/gear-images/processed/catalog-first-page-visible/by-brand/mont-bell/サンダーパス ジャケット Men's - 80ce0129.png,tmp/gear-images/processed/catalog-first-page-visible/80ce0129-c378-43a5-abeb-8cb02a77e0d2.png,https://webshop.montbell.jp/common/images/product/prod_s/s_1128770_gn.jpg
mont-bell,サンダーパス ジャケット Women's,サンダーパス ジャケット Women's,レインウェア（Rainwear）,53b0a75a-e1ab-4bd2-b919-6890689bbbb7,tmp/gear-images/processed/catalog-first-page-visible/by-brand/mont-bell/サンダーパス ジャケット Women's - 53b0a75a.png,tmp/gear-images/processed/catalog-first-page-visible/53b0a75a-e1ab-4bd2-b919-6890689bbbb7.png,https://webshop.montbell.jp/common/images/product/prod_s/s_1128771_iv.jpg
