safe_apply,review_reason,id,brand,name_ja,model,official_weight_grams,weight_grams,msrp_jpy,verification_status,candidate_weight_grams,candidate_msrp_jpy,source_url,weight_snippet,price_snippet
,source_is_listing_or_family_page;bad_price_snippet,e63a71d2-50c2-432d-ab50-4873110de482,Caravan,C1_LIGHT LOW,C1_LIGHT LOW,,,,needs_review,,1091,https://www.caravan-web.com/c/category,,価格が安い順 価格が高い順 新着順 1091 
,source_is_listing_or_family_page;bad_price_snippet,e2df3fd7-41a1-4765-9566-a624f19eb248,Caravan,C1_LIGHT MID,C1_LIGHT MID,,,,needs_review,,1091,https://www.caravan-web.com/c/category,,価格が安い順 価格が高い順 新着順 1091 
,source_is_listing_or_family_page;bad_price_snippet,5a0efa6f-4973-48d7-b9c1-fefb6f590a50,Caravan,C6_02,C6_02,,,,needs_review,,1091,https://www.caravan-web.com/c/category,,価格が安い順 価格が高い順 新着順 1091 
,source_is_listing_or_family_page;bad_price_snippet,b6f9904e-2590-45b3-b218-fe41463ee00e,Caravan,C7_04,C7_04,,,,needs_review,,1091,https://www.caravan-web.com/c/category,,価格が安い順 価格が高い順 新着順 1091 
,source_is_listing_or_family_page;bad_price_snippet,abc4ccac-37ab-405e-94dc-b7afcd90c365,Caravan,GK26,GK26,,,,needs_review,,1091,https://www.caravan-web.com/c/category,,価格が安い順 価格が高い順 新着順 1091 
,source_is_listing_or_family_page;bad_price_snippet,3b9c202b-899b-4f58-a2d2-d07bbd81659f,Caravan,GK83,GK83,,,,needs_review,,1091,https://www.caravan-web.com/c/category,,価格が安い順 価格が高い順 新着順 1091 
,source_is_listing_or_family_page;bad_price_snippet,af76def1-964a-44b0-a8c2-046b50e61e2f,Caravan,GK88,GK88,,,,needs_review,,1091,https://www.caravan-web.com/c/category,,価格が安い順 価格が高い順 新着順 1091 
,source_is_listing_or_family_page;bad_price_snippet,3361ef18-e99e-4679-b57c-7900fa399802,Caravan,KR_3XF,KR_3XF,,,,needs_review,,1091,https://www.caravan-web.com/c/category,,価格が安い順 価格が高い順 新着順 1091 
,source_is_listing_or_family_page;bad_price_snippet,a14ea884-670d-45fc-b649-6c3c2cdb3793,Caravan,KR_3XR,KR_3XR,,,,needs_review,,1091,https://www.caravan-web.com/c/category,,価格が安い順 価格が高い順 新着順 1091 
,source_is_listing_or_family_page;bad_price_snippet,68cc5d81-fcd8-45ba-9754-cfd2fbaccb09,Caravan,渓流 KR_3XFW,渓流 KR_3XFW,,,,needs_review,,1091,https://www.caravan-web.com/c/category,,価格が安い順 価格が高い順 新着順 1091 
,,300a90e0-7002-417e-9adf-56e545374915,finetrack,エバーブレスフォトンジャケット,エバーブレスフォトンジャケット,,,,needs_review,,,https://www.finetrack.com/products/,,
