confidence,id,brand,name_ja,model,needs_weight,needs_price,current_weight,current_price,current_status,candidate_weight_grams,candidate_msrp_jpy,source_url,identity_score,weight_snippet,price_snippet,notes
reviewable,e63a71d2-50c2-432d-ab50-4873110de482,Caravan,C1_LIGHT LOW,C1_LIGHT LOW,yes,yes,,,needs_review,,18700,https://www.caravan-web.com/p/search?keyword=C1_LIGHT%20LOW,2,,"¥ 18,700",
reviewable,e63a71d2-50c2-432d-ab50-4873110de482,Caravan,C1_LIGHT LOW,C1_LIGHT LOW,yes,yes,,,needs_review,,18700,https://www.caravan-web.com/p/search?keyword=C1_LIGHT+LOW&sort=priority,2,,"¥ 18,700",
reviewable,e63a71d2-50c2-432d-ab50-4873110de482,Caravan,C1_LIGHT LOW,C1_LIGHT LOW,yes,yes,,,needs_review,,18700,https://www.caravan-web.com/p/search?keyword=C1_LIGHT+LOW&sort=price_low,2,,"¥ 18,700",
reviewable,e63a71d2-50c2-432d-ab50-4873110de482,Caravan,C1_LIGHT LOW,C1_LIGHT LOW,yes,yes,,,needs_review,,18700,https://www.caravan-web.com/p/search?keyword=C1_LIGHT+LOW&sort=price_high,2,,"¥ 18,700",
reviewable,e63a71d2-50c2-432d-ab50-4873110de482,Caravan,C1_LIGHT LOW,C1_LIGHT LOW,yes,yes,,,needs_review,,18700,https://www.caravan-web.com/p/search?keyword=C1_LIGHT+LOW&sort=latest,2,,"¥ 18,700",
reviewable,e63a71d2-50c2-432d-ab50-4873110de482,Caravan,C1_LIGHT LOW,C1_LIGHT LOW,yes,yes,,,needs_review,365,1011,https://www.caravan-web.com/c/category/shoes/shoes-trekking/0010115,2,重量 約365g,税込 商品番号 001011,
reviewable,e2df3fd7-41a1-4765-9566-a624f19eb248,Caravan,C1_LIGHT MID,C1_LIGHT MID,yes,yes,,,needs_review,,19800,https://www.caravan-web.com/p/search?keyword=C1_LIGHT%20MID,2,,"¥ 19,800",
reviewable,e2df3fd7-41a1-4765-9566-a624f19eb248,Caravan,C1_LIGHT MID,C1_LIGHT MID,yes,yes,,,needs_review,,19800,https://www.caravan-web.com/p/search?keyword=C1_LIGHT+MID&sort=priority,2,,"¥ 19,800",
reviewable,e2df3fd7-41a1-4765-9566-a624f19eb248,Caravan,C1_LIGHT MID,C1_LIGHT MID,yes,yes,,,needs_review,,18700,https://www.caravan-web.com/p/search?keyword=C1_LIGHT+MID&sort=price_low,2,,"¥ 18,700",
reviewable,e2df3fd7-41a1-4765-9566-a624f19eb248,Caravan,C1_LIGHT MID,C1_LIGHT MID,yes,yes,,,needs_review,,19800,https://www.caravan-web.com/p/search?keyword=C1_LIGHT+MID&sort=price_high,2,,"¥ 19,800",
reviewable,e2df3fd7-41a1-4765-9566-a624f19eb248,Caravan,C1_LIGHT MID,C1_LIGHT MID,yes,yes,,,needs_review,,18700,https://www.caravan-web.com/p/search?keyword=C1_LIGHT+MID&sort=latest,2,,"¥ 18,700",
reviewable,e2df3fd7-41a1-4765-9566-a624f19eb248,Caravan,C1_LIGHT MID,C1_LIGHT MID,yes,yes,,,needs_review,395,1011,https://www.caravan-web.com/c/category/shoes/shoes-trekking/0010116,2,重量 約395g,税込 商品番号 001011,
low,5a0efa6f-4973-48d7-b9c1-fefb6f590a50,Caravan,C6_02,C6_02,yes,yes,,,needs_review,,,https://www.caravan-web.com/p/search?keyword=C6_02,0,,,
low,b6f9904e-2590-45b3-b218-fe41463ee00e,Caravan,C7_04,C7_04,yes,yes,,,needs_review,,,https://www.caravan-web.com/p/search?keyword=C7_04,0,,,
reviewable,abc4ccac-37ab-405e-94dc-b7afcd90c365,Caravan,GK26,GK26,yes,yes,,,needs_review,,25300,https://www.caravan-web.com/p/search?keyword=GK26,1,,"¥ 25,300",
reviewable,abc4ccac-37ab-405e-94dc-b7afcd90c365,Caravan,GK26,GK26,yes,yes,,,needs_review,,25300,https://www.caravan-web.com/p/search?keyword=GK26&sort=priority,1,,"¥ 25,300",
reviewable,abc4ccac-37ab-405e-94dc-b7afcd90c365,Caravan,GK26,GK26,yes,yes,,,needs_review,,25300,https://www.caravan-web.com/p/search?keyword=GK26&sort=price_low,1,,"¥ 25,300",
reviewable,abc4ccac-37ab-405e-94dc-b7afcd90c365,Caravan,GK26,GK26,yes,yes,,,needs_review,,25300,https://www.caravan-web.com/p/search?keyword=GK26&sort=price_high,1,,"¥ 25,300",
reviewable,abc4ccac-37ab-405e-94dc-b7afcd90c365,Caravan,GK26,GK26,yes,yes,,,needs_review,,25300,https://www.caravan-web.com/p/search?keyword=GK26&sort=latest,1,,"¥ 25,300",
reviewable,abc4ccac-37ab-405e-94dc-b7afcd90c365,Caravan,GK26,GK26,yes,yes,,,needs_review,495,1126,https://www.caravan-web.com/c/brand/grandking/0011260,1,重量 約495g,税込 商品番号 001126,
low,3b9c202b-899b-4f58-a2d2-d07bbd81659f,Caravan,GK83,GK83,yes,yes,,,needs_review,,,https://www.caravan-web.com/p/search?keyword=GK83,1,,,
low,af76def1-964a-44b0-a8c2-046b50e61e2f,Caravan,GK88,GK88,yes,yes,,,needs_review,,,https://www.caravan-web.com/p/search?keyword=GK88,1,,,
reviewable,3361ef18-e99e-4679-b57c-7900fa399802,Caravan,KR_3XF,KR_3XF,yes,yes,,,needs_review,,19800,https://www.caravan-web.com/p/search?keyword=KR_3XF,1,,"¥ 19,800",
reviewable,3361ef18-e99e-4679-b57c-7900fa399802,Caravan,KR_3XF,KR_3XF,yes,yes,,,needs_review,,19800,https://www.caravan-web.com/p/search?keyword=KR_3XF&sort=priority,1,,"¥ 19,800",
reviewable,3361ef18-e99e-4679-b57c-7900fa399802,Caravan,KR_3XF,KR_3XF,yes,yes,,,needs_review,,9900,https://www.caravan-web.com/p/search?keyword=KR_3XF&sort=price_low,1,,"¥ 9,900",
reviewable,3361ef18-e99e-4679-b57c-7900fa399802,Caravan,KR_3XF,KR_3XF,yes,yes,,,needs_review,,19800,https://www.caravan-web.com/p/search?keyword=KR_3XF&sort=price_high,1,,"¥ 19,800",
reviewable,3361ef18-e99e-4679-b57c-7900fa399802,Caravan,KR_3XF,KR_3XF,yes,yes,,,needs_review,,9900,https://www.caravan-web.com/p/search?keyword=KR_3XF&sort=latest,1,,"¥ 9,900",
reviewable,3361ef18-e99e-4679-b57c-7900fa399802,Caravan,KR_3XF,KR_3XF,yes,yes,,,needs_review,385,3501,https://www.caravan-web.com/c/brand/keiryu/0035019,1,重量 約385g,税込 商品番号 003501,
reviewable,a14ea884-670d-45fc-b649-6c3c2cdb3793,Caravan,KR_3XR,KR_3XR,yes,yes,,,needs_review,,22000,https://www.caravan-web.com/p/search?keyword=KR_3XR,1,,"¥ 22,000",
reviewable,a14ea884-670d-45fc-b649-6c3c2cdb3793,Caravan,KR_3XR,KR_3XR,yes,yes,,,needs_review,,22000,https://www.caravan-web.com/p/search?keyword=KR_3XR&sort=priority,1,,"¥ 22,000",
reviewable,a14ea884-670d-45fc-b649-6c3c2cdb3793,Caravan,KR_3XR,KR_3XR,yes,yes,,,needs_review,,22000,https://www.caravan-web.com/p/search?keyword=KR_3XR&sort=price_low,1,,"¥ 22,000",
reviewable,a14ea884-670d-45fc-b649-6c3c2cdb3793,Caravan,KR_3XR,KR_3XR,yes,yes,,,needs_review,,22000,https://www.caravan-web.com/p/search?keyword=KR_3XR&sort=price_high,1,,"¥ 22,000",
reviewable,a14ea884-670d-45fc-b649-6c3c2cdb3793,Caravan,KR_3XR,KR_3XR,yes,yes,,,needs_review,,22000,https://www.caravan-web.com/p/search?keyword=KR_3XR&sort=latest,1,,"¥ 22,000",
reviewable,a14ea884-670d-45fc-b649-6c3c2cdb3793,Caravan,KR_3XR,KR_3XR,yes,yes,,,needs_review,428,3502,https://www.caravan-web.com/c/brand/keiryu/0035021,1,重量 約428g,税込 商品番号 003502,
low,68cc5d81-fcd8-45ba-9754-cfd2fbaccb09,Caravan,渓流 KR_3XFW,渓流 KR_3XFW,yes,yes,,,needs_review,,,https://www.caravan-web.com/p/search?keyword=%E6%B8%93%E6%B5%81%20KR_3XFW,1,,,
low,300a90e0-7002-417e-9adf-56e545374915,finetrack,エバーブレスフォトンジャケット,エバーブレスフォトンジャケット,yes,yes,,,needs_review,,,https://www.finetrack.com/?s=%E3%82%A8%E3%83%90%E3%83%BC%E3%83%96%E3%83%AC%E3%82%B9%E3%83%95%E3%82%A9%E3%83%88%E3%83%B3%E3%82%B8%E3%83%A3%E3%82%B1%E3%83%83%E3%83%88,0,,,
low,300a90e0-7002-417e-9adf-56e545374915,finetrack,エバーブレスフォトンジャケット,エバーブレスフォトンジャケット,yes,yes,,,needs_review,,,https://www.finetrack.com/products/?s=%E3%82%A8%E3%83%90%E3%83%BC%E3%83%96%E3%83%AC%E3%82%B9%E3%83%95%E3%82%A9%E3%83%88%E3%83%B3%E3%82%B8%E3%83%A3%E3%82%B1%E3%83%83%E3%83%88,0,,,
low,32adc51e-9fbe-4a77-8869-2266f40e5692,finetrack,カミナドーム1,カミナドーム1,,yes,1130,,verified,1280,,https://www.finetrack.com/products/kamina-dome/,0,"重量は1,280g",,
low,32adc51e-9fbe-4a77-8869-2266f40e5692,finetrack,カミナドーム1,カミナドーム1,,yes,1130,,verified,,,https://www.finetrack.com/?s=%E3%82%AB%E3%83%9F%E3%83%8A%E3%83%89%E3%83%BC%E3%83%A01,0,,,
low,32adc51e-9fbe-4a77-8869-2266f40e5692,finetrack,カミナドーム1,カミナドーム1,,yes,1130,,verified,,,https://www.finetrack.com/products/?s=%E3%82%AB%E3%83%9F%E3%83%8A%E3%83%89%E3%83%BC%E3%83%A01,0,,,
low,3f3203d3-276c-4917-a771-d9cb5f03eb7c,finetrack,カミナドーム1 フットプリント,カミナドーム1 フットプリント,yes,yes,,,needs_review,1280,,https://www.finetrack.com/products/kamina-dome/,0,"重量は1,280g",,
low,3f3203d3-276c-4917-a771-d9cb5f03eb7c,finetrack,カミナドーム1 フットプリント,カミナドーム1 フットプリント,yes,yes,,,needs_review,,,https://www.finetrack.com/?s=%E3%82%AB%E3%83%9F%E3%83%8A%E3%83%89%E3%83%BC%E3%83%A01%20%E3%83%95%E3%83%83%E3%83%88%E3%83%97%E3%83%AA%E3%83%B3%E3%83%88,0,,,
low,3f3203d3-276c-4917-a771-d9cb5f03eb7c,finetrack,カミナドーム1 フットプリント,カミナドーム1 フットプリント,yes,yes,,,needs_review,,,https://www.finetrack.com/products/?s=%E3%82%AB%E3%83%9F%E3%83%8A%E3%83%89%E3%83%BC%E3%83%A01%20%E3%83%95%E3%83%83%E3%83%88%E3%83%97%E3%83%AA%E3%83%B3%E3%83%88,0,,,
reviewable,2e1ddc3a-da38-4e7c-8945-3a636f0e328a,finetrack,カミナドーム2,カミナドーム2,,yes,1310,,verified,1280,,https://www.finetrack.com/products/kamina-dome/,1,"重量は1,280g",,
low,2e1ddc3a-da38-4e7c-8945-3a636f0e328a,finetrack,カミナドーム2,カミナドーム2,,yes,1310,,verified,,,https://www.finetrack.com/?s=%E3%82%AB%E3%83%9F%E3%83%8A%E3%83%89%E3%83%BC%E3%83%A02,0,,,
low,2e1ddc3a-da38-4e7c-8945-3a636f0e328a,finetrack,カミナドーム2,カミナドーム2,,yes,1310,,verified,,,https://www.finetrack.com/products/?s=%E3%82%AB%E3%83%9F%E3%83%8A%E3%83%89%E3%83%BC%E3%83%A02,0,,,
reviewable,43c8e4d8-9c22-4447-8367-f07735769962,finetrack,カミナドーム2 フットプリント,カミナドーム2 フットプリント,yes,yes,,,needs_review,1280,,https://www.finetrack.com/products/kamina-dome/,1,"重量は1,280g",,
low,43c8e4d8-9c22-4447-8367-f07735769962,finetrack,カミナドーム2 フットプリント,カミナドーム2 フットプリント,yes,yes,,,needs_review,,,https://www.finetrack.com/?s=%E3%82%AB%E3%83%9F%E3%83%8A%E3%83%89%E3%83%BC%E3%83%A02%20%E3%83%95%E3%83%83%E3%83%88%E3%83%97%E3%83%AA%E3%83%B3%E3%83%88,0,,,
low,43c8e4d8-9c22-4447-8367-f07735769962,finetrack,カミナドーム2 フットプリント,カミナドーム2 フットプリント,yes,yes,,,needs_review,,,https://www.finetrack.com/products/?s=%E3%82%AB%E3%83%9F%E3%83%8A%E3%83%89%E3%83%BC%E3%83%A02%20%E3%83%95%E3%83%83%E3%83%88%E3%83%97%E3%83%AA%E3%83%B3%E3%83%88,0,,,
low,48b8f3a1-b189-4e0c-8302-04e667cf9010,finetrack,カミナドーム4,カミナドーム4,,yes,1860,,verified,1280,,https://www.finetrack.com/products/kamina-dome/,0,"重量は1,280g",,
low,48b8f3a1-b189-4e0c-8302-04e667cf9010,finetrack,カミナドーム4,カミナドーム4,,yes,1860,,verified,,,https://www.finetrack.com/?s=%E3%82%AB%E3%83%9F%E3%83%8A%E3%83%89%E3%83%BC%E3%83%A04,0,,,
low,48b8f3a1-b189-4e0c-8302-04e667cf9010,finetrack,カミナドーム4,カミナドーム4,,yes,1860,,verified,,,https://www.finetrack.com/products/?s=%E3%82%AB%E3%83%9F%E3%83%8A%E3%83%89%E3%83%BC%E3%83%A04,0,,,
low,19837f12-fc7a-4f4d-abc5-72d961c8a36d,finetrack,カミナモノポール1,カミナモノポール1,,yes,890,,verified,800,,https://www.finetrack.com/products/kamina-monopole/,0,重量・サイズ一覧 基本の設営手順 開発の背景 特長 features そんな人におすすめしたい、 新たなテントの選択肢 一人用で800g,,
low,19837f12-fc7a-4f4d-abc5-72d961c8a36d,finetrack,カミナモノポール1,カミナモノポール1,,yes,890,,verified,,,https://www.finetrack.com/?s=%E3%82%AB%E3%83%9F%E3%83%8A%E3%83%A2%E3%83%8E%E3%83%9D%E3%83%BC%E3%83%AB1,0,,,
low,19837f12-fc7a-4f4d-abc5-72d961c8a36d,finetrack,カミナモノポール1,カミナモノポール1,,yes,890,,verified,,,https://www.finetrack.com/products/?s=%E3%82%AB%E3%83%9F%E3%83%8A%E3%83%A2%E3%83%8E%E3%83%9D%E3%83%BC%E3%83%AB1,0,,,
low,bce09673-644a-4b49-baf0-ef6b5e962642,finetrack,カミナモノポール2,カミナモノポール2,,yes,990,,verified,800,,https://www.finetrack.com/products/kamina-monopole/,0,重量・サイズ一覧 基本の設営手順 開発の背景 特長 features そんな人におすすめしたい、 新たなテントの選択肢 一人用で800g,,
low,bce09673-644a-4b49-baf0-ef6b5e962642,finetrack,カミナモノポール2,カミナモノポール2,,yes,990,,verified,,,https://www.finetrack.com/?s=%E3%82%AB%E3%83%9F%E3%83%8A%E3%83%A2%E3%83%8E%E3%83%9D%E3%83%BC%E3%83%AB2,0,,,
low,bce09673-644a-4b49-baf0-ef6b5e962642,finetrack,カミナモノポール2,カミナモノポール2,,yes,990,,verified,,,https://www.finetrack.com/products/?s=%E3%82%AB%E3%83%9F%E3%83%8A%E3%83%A2%E3%83%8E%E3%83%9D%E3%83%BC%E3%83%AB2,0,,,
low,aad89d40-b629-42df-9083-a82e70fc199c,finetrack,カミノパンツ,カミノパンツ,yes,yes,,,needs_review,,,https://www.finetrack.com/?s=%E3%82%AB%E3%83%9F%E3%83%8E%E3%83%91%E3%83%B3%E3%83%84,0,,,
